Variable,Description
filename,filename
entity_id,entity_id
entity_name,entity_name
class_code,class_code
financial_year,financial_year
population,population
gen_govt_ft_ct,gen_govt_ft_ct
gen_govt_pt_ct,gen_govt_pt_ct
gen_govt_saly_amt,gen_govt_saly_amt
gen_govt_benf_amt,gen_govt_benf_amt
police_ft_ct,police_ft_ct
police_pt_ct,police_pt_ct
police_salary_amt,police_salary_amt
police_benf_amt,police_benf_amt
fire_ft_ct,fire_ft_ct
fire_pt_ct,fire_pt_ct
fire_salaries_amt,fire_salaries_amt
fire_benf_amt,fire_benf_amt
streets_ft_ct,streets_ft_ct
streets_pt_ct,streets_pt_ct
streets_sal_amt,streets_sal_amt
streets_benf_amt,streets_benf_amt
sanitation_ft_ct,sanitation_ft_ct
sanitation_pt_ct,sanitation_pt_ct
sanitation_saly_amt,sanitation_saly_amt
sanitation_benf_amt,sanitation_benf_amt
library_ft_ct,library_ft_ct
library_pt_ct,library_pt_ct
library_saly_amt,library_saly_amt
library_benf_amt,library_benf_amt
park_and_rec_ft_ct,park_and_rec_ft_ct
park_and_rec_pt_ct,park_and_rec_pt_ct
park_and_rec_saly_amt,park_and_rec_saly_amt
park_and_rec_benf_amt,park_and_rec_benf_amt
all_other_ft_ct,all_other_ft_ct
all_other_pt_ct,all_other_pt_ct
all_other_saly_amt,all_other_saly_amt
all_other_benf_amt,all_other_benf_amt
health_ft_ct,health_ft_ct
health_pt_ct,health_pt_ct
health_saly_amt,health_saly_amt
health_ben_amt,health_ben_amt
conserv_ft_ct,conserv_ft_ct
conserv_pt_ct,conserv_pt_ct
conserv_saly_amt,conserv_saly_amt
conserv_ben_amt,conserv_ben_amt
econ_dev_ft_ct,econ_dev_ft_ct
econ_dev_pt_ct,econ_dev_pt_ct
econ_dev_saly_amt,econ_dev_saly_amt
econ_dev_ben_amt,econ_dev_ben_amt
enterprise_ft_ct,enterprise_ft_ct
enterprise_pt_ct,enterprise_pt_ct
enterprise_saly_amt,enterprise_saly_amt
enterprise_benf_amt,enterprise_benf_amt
num_of_retirees,num_of_retirees
retire_benefits,retire_benefits
