Variable,Description
filename,filename
entity_id,entity_id
entity_name,entity_name
parent_entity_name,parent_entity_name
name_of_enterprise,name_of_enterprise
enterprise_category,enterprise_category
enterprise_category_id,enterprise_category_id
foot_notes,foot_notes
financial_year,financial_year
class_code,class_code
population,population
operating_revenue,operating_revenue
cost_of_sales,cost_of_sales
gross_profit,gross_profit
operating_expenses,operating_expenses
operating_income,operating_income
nonoperating_revenue,nonoperating_revenue
nonoperating_expenses,nonoperating_expenses
net_income,net_income
taxes,taxes
federal_grants,federal_grants
state_grants,state_grants
count_local_grants,count_local_grants
transfer_in,transfer_in
transfer_out,transfer_out
total_cap_outlay,total_cap_outlay
borrowing,borrowing
interest_paid,interest_paid
bonds_paid,bonds_paid
principal_payments_other_long_term_debt,principal_payments_other_long_term_debt
bonds_os_yr_end,bonds_os_yr_end
oltos_yr_end,oltos_yr_end
depreciation,depreciation
int_fnd_debt_borrow,int_fnd_debt_borrow
int_fnd_debt_paid,int_fnd_debt_paid
city_class,city_class
operating_exp,operating_exp
operating_income_loss,operating_income_loss
completed_date,completed_date
