Variable,Description
filename,filename
entity_id,entity_id
entity_name,entity_name
parent_entity_name,parent_entity_name
financial_year,financial_year
class_code,class_code
general_restricted,general_restricted
general_committed,general_committed
general_assigned,general_assigned
general_unassigned,general_unassigned
special_revenue_restricted,special_revenue_restricted
special_revenue_committed,special_revenue_committed
special_revenue_assigned,special_revenue_assigned
special_revenue_unassigned,special_revenue_unassigned
debt_service_restricted,debt_service_restricted
debt_service_committed,debt_service_committed
debt_service_assigned,debt_service_assigned
debt_service_unassigned,debt_service_unassigned
capital_projects_restricted,capital_projects_restricted
capital_projects_committed,capital_projects_committed
capital_projects_assigned,capital_projects_assigned
capital_projects_unassigned,capital_projects_unassigned
permanent_restricted,permanent_restricted
permanent_committed,permanent_committed
permanent_assigned,permanent_assigned
permanent_unassigned,permanent_unassigned
component_units_restricted,component_units_restricted
component_units_committed,component_units_committed
component_units_assigned,component_units_assigned
component_units_unassigned,component_units_unassigned
general_nonspendable,general_nonspendable
special_revenue_nonspendable,special_revenue_nonspendable
debt_service_nonspendable,debt_service_nonspendable
capital_projects_nonspendable,capital_projects_nonspendable
permanent_nonspendable,permanent_nonspendable
component_units_nonspendable,component_units_nonspendable
gaap_ind,gaap_ind
